evaluation_id,iteration,sunflower_id,val_rmse,val_mae,val_mape,val_r2,is_current_sun,param_count,train_time_sec,lookback,conv_channels,kernel_size,gru_hidden_dim,gru_layers,attention_dim,dropout,lr,weight_decay,batch_size
1,1,1,1412.84,1122.19,14.07,0.3934,True,5362,3.59,3,8,5,32,1,8,0.1,0.0001,0.0,16
2,1,2,1304.37,1042.03,13.26,0.4829,True,1938,7.34,21,8,1,16,1,8,0.0,0.0003,0.001,4
3,1,3,1340.07,1049.99,13.31,0.4543,False,7874,8.62,21,32,3,16,1,32,0.3,0.001,0.0001,4
4,1,4,1324.24,1052.59,13.27,0.4671,False,4466,4.33,7,16,1,16,2,8,0.2,0.001,0.0001,4
5,1,5,1321.25,1040.1,13.2,0.4695,False,10530,3.14,21,32,1,32,1,32,0.2,0.001,1e-05,16
6,1,6,1320.42,1046.49,13.28,0.4701,False,3826,7.31,3,8,5,16,2,8,0.1,0.0001,0.001,8
7,1,7,1365.37,1064.33,13.46,0.4335,False,9218,5.19,21,32,3,16,2,16,0.1,0.001,0.0,16
8,1,8,1290.06,1016.54,12.88,0.4942,True,9634,1.68,7,32,5,16,1,16,0.3,0.001,1e-05,16
9,2,1,1290.06,1016.54,12.88,0.4942,False,9634,1.59,7,32,5,16,1,16,0.3,0.001,1e-05,16
10,2,2,1290.06,1016.54,12.88,0.4942,False,9634,1.4,7,32,5,16,1,16,0.3,0.001,1e-05,16
11,2,3,1294.2,1022.89,12.94,0.491,False,9490,1.36,7,32,5,16,1,8,0.1,0.001,1e-05,16
12,2,4,1292.99,1026.29,12.95,0.4919,False,27586,2.37,3,32,5,64,1,16,0.3,0.001,0.0,16
13,2,5,1347.85,1076.79,13.59,0.4479,False,9986,4.76,14,32,1,32,1,16,0.3,0.001,1e-05,16
14,2,6,1290.06,1016.54,12.88,0.4942,False,9634,1.75,7,32,5,16,1,16,0.3,0.001,1e-05,16
15,2,7,1398.67,1100.81,13.96,0.4055,False,2338,2.07,7,8,5,16,1,16,0.3,0.001,1e-05,16
16,2,8,1309.18,1034.71,13.13,0.4791,False,27586,1.73,21,32,5,64,1,16,0.3,0.001,1e-05,16
17,3,1,1290.06,1016.54,12.88,0.4942,False,9634,1.4,7,32,5,16,1,16,0.3,0.001,1e-05,16
18,3,2,1290.06,1016.54,12.88,0.4942,False,9634,1.53,7,32,5,16,1,16,0.3,0.001,1e-05,16
19,3,3,1290.25,1021.32,12.95,0.4941,False,9634,1.43,7,32,5,16,1,16,0.1,0.001,1e-05,16
20,3,4,1287.16,1026.61,13.06,0.4965,True,9634,4.96,14,32,5,16,1,16,0.3,0.001,1e-05,4
21,3,5,1297.46,1034.4,13.14,0.4884,False,7586,1.09,7,32,3,16,1,16,0.3,0.001,1e-05,16
22,3,6,1291.81,1008.72,12.78,0.4929,False,9634,2.33,7,32,5,16,1,16,0.3,0.0001,1e-05,16
23,3,7,1350.61,1070.24,13.48,0.4456,False,27586,1.27,7,32,5,64,1,16,0.0,0.001,1e-05,16
24,3,8,1290.06,1016.54,12.88,0.4942,False,9634,2.19,7,32,5,16,1,16,0.3,0.001,1e-05,16
25,4,1,1287.16,1026.61,13.06,0.4965,False,9634,4.82,14,32,5,16,1,16,0.3,0.001,1e-05,4
26,4,2,1279.86,1019.44,12.95,0.5022,True,9634,4.09,14,32,5,16,1,16,0.0,0.001,1e-05,4
27,4,3,1287.16,1026.61,13.06,0.4965,False,9634,4.18,14,32,5,16,1,16,0.3,0.001,1e-05,4
28,4,4,1299.63,1039.35,13.19,0.4867,False,7586,4.18,14,32,3,16,1,16,0.3,0.001,1e-05,4
29,4,5,1307.35,1037.18,13.18,0.4806,False,41794,7.28,14,8,5,64,2,16,0.3,0.001,1e-05,4
30,4,6,1278.99,1021.71,12.97,0.5029,True,9634,1.41,14,32,5,16,1,16,0.3,0.001,1e-05,16
31,4,7,1290.48,1027.98,13.09,0.4939,False,9634,3.77,14,32,5,16,1,16,0.1,0.001,0.0,4
32,4,8,1317.71,1044.21,13.24,0.4723,False,11266,7.09,14,32,5,16,2,16,0.3,0.003,1e-05,4
33,5,1,1278.99,1021.71,12.97,0.5029,False,9634,1.28,14,32,5,16,1,16,0.3,0.001,1e-05,16
34,5,2,1279.94,1024.59,13.02,0.5021,False,9634,2.13,14,32,5,16,1,16,0.0,0.001,1e-05,16
35,5,3,1278.99,1021.71,12.97,0.5029,False,9634,1.8,14,32,5,16,1,16,0.3,0.001,1e-05,16
36,5,4,1285.68,1020.55,12.94,0.4977,False,7586,1.89,14,32,3,16,1,16,0.3,0.001,1e-05,16
37,5,5,1357.1,1074.57,13.55,0.4403,False,2626,1.22,14,8,5,16,1,32,0.3,0.001,1e-05,16
38,5,6,1327.81,1061.48,13.39,0.4642,False,4002,4.07,7,16,5,16,1,16,0.3,0.001,0.0,16
39,5,7,1279.94,1024.59,13.02,0.5021,False,9634,1.88,14,32,5,16,1,16,0.0,0.001,1e-05,16
40,5,8,1278.99,1021.71,12.97,0.5029,False,9634,1.56,14,32,5,16,1,16,0.3,0.001,1e-05,16
