device_id,timestamp,temperature_c,ambient_temperature_c,ph,inlet_ph,pressure_bar,gas_flow_m3_day,biogas_production_m3_day,methane_percent,co2_percent,h2s_ppm,feedstock_mass_kg,feedstock_type,total_solids_percent,volatile_solids_percent,agitator_runtime_min,solar_voltage_v,solar_current_a,solar_power_w,battery_voltage_v,battery_soc_percent,system_load_current_ma,system_load_power_w,solar_status,source
DIGESTER_001,2026-01-01 00:00:00,35.62,20.68,7.44,6.16,1.364,8.356,8.356,58.3,40.2,115.3,67.62,co_digestion,10.38,82.37,211.0,0.47,0.0,0.0,12.81,84.2,186.5,0.93,NORMAL,synthetic
DIGESTER_001,2026-01-02 00:00:00,35.55,18.92,7.44,6.06,1.309,7.292,7.292,58.1,40.4,124.1,73.3,co_digestion,9.79,82.2,246.0,0.39,0.0,0.0,12.8,83.4,169.9,0.85,NORMAL,synthetic
DIGESTER_001,2026-01-03 00:00:00,35.35,19.84,7.43,6.2,1.329,6.559,6.559,56.9,41.6,127.9,83.89,co_digestion,9.97,81.23,243.0,0.44,0.0,0.0,12.79,82.6,174.0,0.87,NORMAL,synthetic
DIGESTER_001,2026-01-04 00:00:00,35.13,20.25,7.44,6.13,1.32,5.984,5.984,56.9,41.6,135.0,62.91,co_digestion,11.03,80.52,254.0,0.44,0.0,0.0,12.78,81.8,165.2,0.83,NORMAL,synthetic
DIGESTER_001,2026-01-05 00:00:00,35.06,19.69,7.46,6.13,1.295,5.512,5.512,57.3,41.2,141.7,58.37,co_digestion,10.41,78.34,230.0,0.44,0.0,0.0,12.77,81.0,183.3,0.92,NORMAL,synthetic
DIGESTER_001,2026-01-06 00:00:00,35.15,20.68,7.46,5.81,1.299,4.779,4.779,57.4,41.1,138.0,53.2,co_digestion,10.91,80.13,232.0,0.81,0.0,0.0,12.76,80.2,179.6,0.9,NORMAL,synthetic
DIGESTER_001,2026-01-07 00:00:00,35.4,19.77,7.44,6.12,1.269,4.522,4.522,57.9,40.6,122.3,49.92,co_digestion,10.76,80.15,244.0,0.4,0.0,0.0,12.75,79.4,189.2,0.95,NORMAL,synthetic
DIGESTER_001,2026-01-08 00:00:00,35.49,20.45,7.48,6.15,1.217,4.222,4.222,58.7,39.8,138.6,57.9,co_digestion,10.1,79.76,240.0,0.45,0.0,0.0,12.74,78.6,165.8,0.83,NORMAL,synthetic
DIGESTER_001,2026-01-09 00:00:00,35.61,20.52,7.49,6.19,1.261,3.981,3.981,60.0,38.5,127.5,73.24,co_digestion,9.92,81.71,273.0,0.99,0.0,0.0,12.73,77.8,178.1,0.89,NORMAL,synthetic
DIGESTER_001,2026-01-10 00:00:00,35.65,19.71,7.46,5.97,1.268,4.05,4.05,58.0,40.5,140.3,72.11,co_digestion,10.53,78.41,222.0,0.39,0.0,0.0,12.72,77.0,181.0,0.91,NORMAL,synthetic
DIGESTER_001,2026-01-11 00:00:00,35.41,20.72,7.46,6.24,1.231,3.788,3.788,58.6,39.9,148.7,67.43,co_digestion,10.89,78.14,243.0,0.76,0.0,0.0,12.71,76.2,163.9,0.82,NORMAL,synthetic
DIGESTER_001,2026-01-12 00:00:00,35.56,20.8,7.48,6.02,1.254,3.511,3.511,59.5,39.0,150.9,55.86,co_digestion,10.83,78.54,268.0,0.36,0.0,0.0,12.7,75.4,198.7,0.99,NORMAL,synthetic
DIGESTER_001,2026-01-13 00:00:00,35.67,20.4,7.48,6.19,1.248,3.416,3.416,58.4,40.1,175.2,41.3,co_digestion,10.67,80.42,227.0,0.35,0.0,0.0,12.7,74.6,171.1,0.86,NORMAL,synthetic
DIGESTER_001,2026-01-14 00:00:00,35.39,19.78,7.47,6.27,1.233,3.176,3.176,58.5,40.0,136.4,51.84,co_digestion,10.46,78.73,246.0,0.6,0.0,0.0,12.69,73.8,177.8,0.89,NORMAL,synthetic
DIGESTER_001,2026-01-15 00:00:00,35.58,19.97,7.44,6.25,1.235,2.97,2.97,59.2,39.3,154.7,54.29,co_digestion,10.78,81.62,298.0,0.53,0.0,0.0,12.68,73.0,180.6,0.9,NORMAL,synthetic
DIGESTER_001,2026-01-16 00:00:00,35.52,21.17,7.42,6.15,1.242,3.134,3.134,60.9,37.6,131.3,74.98,co_digestion,10.88,78.84,216.0,0.73,0.0,0.0,12.67,72.2,189.5,0.95,NORMAL,synthetic
DIGESTER_001,2026-01-17 00:00:00,35.55,20.37,7.42,6.09,1.187,3.101,3.101,60.8,37.7,156.3,69.24,co_digestion,10.84,78.9,243.0,0.72,0.0,0.0,12.66,71.4,180.6,0.9,NORMAL,synthetic
DIGESTER_001,2026-01-18 00:00:00,35.48,20.26,7.41,6.28,1.202,3.085,3.085,60.3,38.2,153.8,65.93,co_digestion,10.93,78.2,254.0,0.67,0.0,0.0,12.65,70.6,172.1,0.86,NORMAL,synthetic
DIGESTER_001,2026-01-19 00:00:00,35.6,22.53,7.4,6.39,1.22,2.996,2.996,55.5,43.0,139.0,51.07,co_digestion,10.15,80.67,221.0,0.71,0.0,0.0,12.64,69.8,164.8,0.82,NORMAL,synthetic
DIGESTER_001,2026-01-20 00:00:00,35.57,22.18,7.39,6.42,1.223,2.863,2.863,58.9,39.6,142.4,46.03,co_digestion,9.78,81.74,234.0,0.21,0.0,0.0,12.63,69.0,175.6,0.88,NORMAL,synthetic
