experiment_id,model_family,model_name,category,feature_set,lookback_days,hyperparameters,train_dates,val_dates,test_dates,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_mape_pct,test_r2,delta_mae_vs_pers,delta_rmse_vs_pers,pct_imp_rmse,beats_persistence,random_seed,preprocessing_version
EXP_001,Classical / Heuristic,Persistence (Lag-0),Naive Benchmark,Univariate Production,1,None (y_hat = y_t),2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,1065.36,1336.81,0.4569,798.83,1000.9,11.15,0.183,0.0,0.0,0.0,True,42,v1.0-frozen
EXP_002,Classical / Heuristic,Seasonal Persistence (Lag-7),Cyclical Heuristic,Univariate Production,7,lag=7,2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,2378.41,2987.68,-1.7127,1289.83,1625.49,18.44,-1.1547,-491.0,-624.59,-62.4,False,42,v1.0-frozen
EXP_003,Classical / Heuristic,Moving Average (3-day SMA),Statistical Filter,Univariate Production,3,window=3,2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,1001.0,1401.11,0.4034,805.49,1010.09,11.39,0.1679,-6.66,-9.19,-0.92,False,42,v1.0-frozen
EXP_004,Classical / Heuristic,Moving Average (7-day SMA),Statistical Filter,Univariate Production,7,window=7,2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,1288.35,1703.18,0.1184,812.01,1076.1,11.85,0.0556,-13.18,-75.2,-7.51,False,42,v1.0-frozen
EXP_005,Classical / Heuristic,Exponential Moving Average (EMA),Statistical Filter,Univariate Production,1,alpha=0.6,2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,967.71,1298.17,0.4878,769.02,957.78,10.74,0.2519,29.81,43.12,4.31,True,42,v1.0-frozen
EXP_006,Classical / Heuristic,Ridge Regression (Tuned),Linear L2 Regularized,Compact Autoregressive (12),1,"alpha=0.01, features=compact(12)",2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,1342.91,1660.45,0.1621,947.08,1139.13,12.14,-0.0582,-148.25,-138.23,-13.81,False,42,v1.0-frozen
EXP_007,Classical / Heuristic,Random Forest Regressor (Tuned),Ensemble Bagging,Compact Autoregressive (12),1,"max_depth=2, n_est=50, min_split=10",2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,2019.54,2294.96,-0.6006,1103.5,1418.6,13.79,-0.6412,-304.67,-417.7,-41.73,False,42,v1.0-frozen
EXP_008,Classical / Heuristic,Gradient Boosted Trees (Tuned),Gradient Boosting,Compact Autoregressive (12),1,"max_depth=2, lr=0.03, n_est=150",2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,1912.48,2209.07,-0.483,1323.27,1648.1,16.86,-1.2151,-524.44,-647.2,-64.66,False,42,v1.0-frozen
EXP_009,Temporal Neural Network,LSTM (3-day Lookback Residual),PyTorch LSTM,Multimodal Sequence (9 variables),3,"hidden=32, layers=1, lr=0.005, residual=True",2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,1079.75,1351.84,0.4446,799.41,990.91,11.12,0.1992,-0.58,9.99,1.0,True,42,v1.0-frozen
EXP_010,Temporal Neural Network,LSTM (3-day Lookback),PyTorch LSTM,Multimodal Sequence (9 variables),3,"hidden=32, layers=1, lr=0.005, residual=False",2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,1536.18,1978.16,-0.1892,2523.85,2710.78,34.08,-4.9926,-1725.02,-1709.88,-170.83,False,42,v1.0-frozen
EXP_011,Temporal Neural Network,GRU (3-day Lookback Residual),PyTorch GRU,Multimodal Sequence (9 variables),3,"hidden=32, layers=1, lr=0.005, residual=True",2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,1049.53,1316.81,0.473,783.18,994.38,10.97,0.1936,15.65,6.52,0.65,True,42,v1.0-frozen
EXP_012,Temporal Neural Network,GRU (3-day Lookback),PyTorch GRU,Multimodal Sequence (9 variables),3,"hidden=32, layers=1, lr=0.005, residual=False",2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,1358.52,1683.66,0.1385,1511.92,1688.7,19.99,-1.3256,-713.09,-687.8,-68.72,False,42,v1.0-frozen
EXP_013,Temporal Neural Network,LSTM (7-day Lookback Residual),PyTorch LSTM,Multimodal Sequence (9 variables),7,"hidden=32, layers=1, lr=0.005, residual=True",2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,1086.37,1357.65,0.4398,815.2,995.69,11.31,0.1915,-16.37,5.21,0.52,True,42,v1.0-frozen
EXP_014,Temporal Neural Network,LSTM (7-day Lookback),PyTorch LSTM,Multimodal Sequence (9 variables),7,"hidden=32, layers=1, lr=0.005, residual=False",2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,2041.77,2280.67,-0.5807,916.4,1193.25,11.62,-0.1612,-117.57,-192.35,-19.22,False,42,v1.0-frozen
EXP_015,Temporal Neural Network,GRU (7-day Lookback Residual),PyTorch GRU,Multimodal Sequence (9 variables),7,"hidden=32, layers=1, lr=0.005, residual=True",2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,1058.01,1324.11,0.4672,789.39,989.76,11.03,0.2011,9.44,11.14,1.11,True,42,v1.0-frozen
EXP_016,Temporal Neural Network,GRU (7-day Lookback),PyTorch GRU,Multimodal Sequence (9 variables),7,"hidden=32, layers=1, lr=0.005, residual=False",2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,1665.18,1918.92,-0.119,1262.09,1443.77,16.29,-0.6999,-463.26,-442.87,-44.25,False,42,v1.0-frozen
EXP_017,Temporal Neural Network,LSTM (14-day Lookback Residual),PyTorch LSTM,Multimodal Sequence (9 variables),14,"hidden=32, layers=1, lr=0.005, residual=True",2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,1086.83,1359.43,0.4384,814.59,996.36,11.31,0.1904,-15.76,4.54,0.45,True,42,v1.0-frozen
EXP_018,Temporal Neural Network,LSTM (14-day Lookback),PyTorch LSTM,Multimodal Sequence (9 variables),14,"hidden=32, layers=1, lr=0.005, residual=False",2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,2106.52,2340.57,-0.6649,834.28,1137.42,10.46,-0.055,-35.45,-136.52,-13.64,False,42,v1.0-frozen
EXP_019,Temporal Neural Network,GRU (14-day Lookback Residual),PyTorch GRU,Multimodal Sequence (9 variables),14,"hidden=32, layers=1, lr=0.005, residual=True",2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,983.31,1302.94,0.4841,766.61,959.4,11.01,0.2494,32.22,41.5,4.15,True,42,v1.0-frozen
EXP_020,Temporal Neural Network,GRU (14-day Lookback),PyTorch GRU,Multimodal Sequence (9 variables),14,"hidden=32, layers=1, lr=0.005, residual=False",2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,1598.24,1844.14,-0.0335,772.94,1036.86,9.73,0.1233,25.89,-35.96,-3.59,False,42,v1.0-frozen
EXP_021,Physics-Guided XCO-Net,XCO-Net (SFOA Champion),Dual-Stream Physics-Guided,Core Process Variables (9),7,"L=7, d_h=16, lr=0.0031, gamma_phys=0.0065, params=2,706",2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,1017.04,1283.47,0.4994,799.44,1016.92,11.23,0.1567,-0.61,-16.02,-1.6,False,42,v1.0-frozen
