iteration,sunflower_id,val_rmse,val_mae,val_r2,is_current_sun,lookback,hidden_dim,dropout,lr,weight_decay,gamma_phys
1,1,1351.77,1066.22,0.4447,True,21,16,0.055,0.0029,4.7e-05,0.0368
1,2,1340.41,1085.35,0.454,True,21,32,0.228,0.0016,0.000184,0.0015
1,3,1317.81,1032.59,0.4722,True,7,16,0.151,0.0012,3.9e-05,0.0325
1,4,1437.27,1151.84,0.3722,False,21,24,0.094,0.0051,0.002681,0.0003
1,5,1416.03,1115.64,0.3906,False,7,32,0.135,0.0029,4.4e-05,0.0382
1,6,1294.67,1018.29,0.4906,True,7,16,0.126,0.0035,0.000108,0.0132
1,7,1358.43,1086.55,0.4392,False,7,32,0.142,0.0019,0.005846,0.0039
1,8,1359.81,1068.45,0.4381,False,14,32,0.174,0.007,0.00054,0.0352
2,1,1294.67,1018.29,0.4906,False,7,16,0.126,0.0035,0.000108,0.0132
2,2,1310.3,1033.17,0.4782,False,7,16,0.211,0.0022,0.000197,0.0035
2,3,1294.92,1036.36,0.4904,False,7,16,0.147,0.0016,3.2e-05,0.0293
2,4,1364.29,1081.1,0.4343,False,21,16,0.102,0.0045,0.003077,0.0033
2,5,1342.44,1064.34,0.4523,False,14,16,0.134,0.0033,3.7e-05,0.0341
2,6,1410.37,1115.8,0.3955,False,7,32,0.126,0.003,0.000106,0.0132
2,7,1303.8,1026.46,0.4834,False,14,16,0.139,0.0023,0.006747,0.0056
2,8,1367.99,1086.34,0.4313,False,21,16,0.16,0.0062,0.000645,0.0286
3,1,1294.67,1018.29,0.4906,False,7,16,0.126,0.0035,0.000108,0.0132
3,2,1303.41,1028.16,0.4837,False,7,16,0.197,0.0027,0.000211,0.0051
3,3,1299.94,1021.44,0.4865,False,7,16,0.144,0.0019,2.6e-05,0.0266
3,4,1356.5,1071.22,0.4408,False,21,16,0.108,0.004,0.003532,0.0056
3,5,1351.43,1073.26,0.445,False,14,16,0.133,0.0036,3.1e-05,0.0307
3,6,1384.94,1093.77,0.4171,False,7,32,0.126,0.0026,0.000104,0.0132
3,7,1320.54,1038.47,0.47,False,14,16,0.137,0.0027,0.007787,0.007
3,8,1358.69,1081.19,0.439,False,21,16,0.15,0.0057,0.00077,0.024
4,1,1294.67,1018.29,0.4906,False,7,16,0.126,0.0035,0.000108,0.0132
4,2,1284.21,1018.12,0.4988,True,7,16,0.185,0.0031,0.000226,0.0065
4,3,1309.57,1050.12,0.4788,False,7,16,0.141,0.0022,2.1e-05,0.0244
4,4,1353.15,1077.8,0.4435,False,21,16,0.112,0.0037,0.004054,0.0074
4,5,1335.54,1066.36,0.4579,False,14,16,0.132,0.0038,2.6e-05,0.0278
4,6,1379.84,1092.2,0.4214,False,7,32,0.126,0.0023,0.000102,0.0132
4,7,1332.1,1052.51,0.4607,False,14,16,0.135,0.003,0.008988,0.0082
4,8,1357.77,1080.79,0.4397,False,21,16,0.143,0.0053,0.000919,0.0208
5,1,1284.21,1018.12,0.4988,False,7,16,0.185,0.0031,0.000226,0.0065
5,2,1295.83,1018.61,0.4897,False,7,16,0.185,0.0033,0.000242,0.0065
5,3,1307.55,1028.09,0.4804,False,7,16,0.148,0.0024,1.7e-05,0.0214
5,4,1351.72,1079.36,0.4447,False,21,16,0.129,0.0033,0.004653,0.0072
5,5,1357.29,1076.89,0.4401,False,14,16,0.141,0.0039,2.2e-05,0.0243
5,6,1366.81,1089.97,0.4323,False,7,32,0.137,0.002,0.0001,0.012
5,7,1338.78,1060.3,0.4553,False,14,16,0.144,0.0031,0.01,0.0079
5,8,1368.72,1082.42,0.4307,False,21,16,0.156,0.0049,0.001097,0.0165
6,1,1284.21,1018.12,0.4988,False,7,16,0.185,0.0031,0.000226,0.0065
6,2,1310.92,1026.36,0.4777,False,7,16,0.185,0.0035,0.000259,0.0065
6,3,1301.75,1026.47,0.485,False,7,16,0.154,0.0025,1.4e-05,0.0189
6,4,1353.1,1069.78,0.4436,False,21,16,0.142,0.003,0.00534,0.007
6,5,1363.22,1079.54,0.4352,False,14,16,0.148,0.004,1.8e-05,0.0214
6,6,1343.95,1074.89,0.4511,False,7,32,0.146,0.0017,9.8e-05,0.011
6,7,1341.83,1063.45,0.4528,False,14,16,0.152,0.0032,0.01,0.0076
6,8,1335.56,1068.09,0.4579,False,21,16,0.165,0.0046,0.00131,0.0135
