window_id,window_name,train_range,val_range,test_range,train_n,val_n,test_n,model,actual_sample,pred_sample,mae,rmse,mape_pct,r2
1,Mid-Winter Transition,2025-11-01 to 2026-01-15,2026-01-16 to 2026-02-05,2026-02-06 to 2026-02-25,76,20,20,Persistence (Lag-0),"[np.float64(9183.0), np.float64(5875.0), np.float64(7726.0)]","[np.float64(8183.0), np.float64(9183.0), np.float64(5875.0)]",1368.95,1639.63,22.56,0.4344
1,Mid-Winter Transition,2025-11-01 to 2026-01-15,2026-01-16 to 2026-02-05,2026-02-06 to 2026-02-25,76,20,20,Exponential Moving Average (EMA-0.90),"[np.float64(9183.0), np.float64(5875.0), np.float64(7726.0)]","[np.float64(8183.8), np.float64(9091.5), np.float64(6062.2)]",1344.38,1616.87,22.25,0.45
1,Mid-Winter Transition,2025-11-01 to 2026-01-15,2026-01-16 to 2026-02-05,2026-02-06 to 2026-02-25,76,20,20,GRU (14-day Residual),"[np.float32(9183.0), np.float32(5875.0), np.float32(7726.0)]","[np.float32(6508.9), np.float32(6469.5), np.float32(5197.2)]",1392.76,1652.95,21.42,0.4251
1,Mid-Winter Transition,2025-11-01 to 2026-01-15,2026-01-16 to 2026-02-05,2026-02-06 to 2026-02-25,76,20,20,XCO-Net (Champion),"[np.float32(9183.0), np.float32(5875.0), np.float32(7726.0)]","[np.float32(8317.1), np.float32(8806.4), np.float32(5231.7)]",1380.67,1607.07,22.41,0.4566
2,Late-Winter Ramp,2025-11-01 to 2026-02-05,2026-02-06 to 2026-02-25,2026-02-26 to 2026-03-18,96,20,20,Persistence (Lag-0),"[np.float64(9871.0), np.float64(8406.0), np.float64(8558.0)]","[np.float64(9994.0), np.float64(9871.0), np.float64(8406.0)]",834.05,1118.04,9.65,-0.5416
2,Late-Winter Ramp,2025-11-01 to 2026-02-05,2026-02-06 to 2026-02-25,2026-02-26 to 2026-03-18,96,20,20,Exponential Moving Average (EMA-0.90),"[np.float64(9871.0), np.float64(8406.0), np.float64(8558.0)]","[np.float64(9970.2), np.float64(9857.5), np.float64(8507.8)]",795.9,1090.74,9.19,-0.4672
2,Late-Winter Ramp,2025-11-01 to 2026-02-05,2026-02-06 to 2026-02-25,2026-02-26 to 2026-03-18,96,20,20,GRU (14-day Residual),"[np.float32(9871.0), np.float32(8406.0), np.float32(8558.0)]","[np.float32(8889.3), np.float32(8444.3), np.float32(8387.5)]",562.58,833.93,6.23,0.1423
2,Late-Winter Ramp,2025-11-01 to 2026-02-05,2026-02-06 to 2026-02-25,2026-02-26 to 2026-03-18,96,20,20,XCO-Net (Champion),"[np.float32(9871.0), np.float32(8406.0), np.float32(8558.0)]","[np.float32(10042.0), np.float32(9922.8), np.float32(8463.5)]",821.07,1126.39,9.52,-0.5647
3,Official Held-Out Spring Test,2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,105,22,24,Persistence (Lag-0),"[np.float64(9649.0), np.float64(9623.0), np.float64(7061.0)]","[np.float64(9467.0), np.float64(9649.0), np.float64(9623.0)]",798.83,1000.9,11.15,0.183
3,Official Held-Out Spring Test,2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,105,22,24,Exponential Moving Average (EMA-0.90),"[np.float64(9649.0), np.float64(9623.0), np.float64(7061.0)]","[np.float64(9431.4), np.float64(9621.6), np.float64(9618.7)]",777.32,984.48,10.86,0.2096
3,Official Held-Out Spring Test,2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,105,22,24,GRU (14-day Residual),"[np.float32(9649.0), np.float32(9623.0), np.float32(7061.0)]","[np.float32(8731.2), np.float32(8568.6), np.float32(8312.3)]",766.61,959.4,11.01,0.2494
3,Official Held-Out Spring Test,2025-11-01 to 2026-02-14,2026-02-15 to 2026-03-09,2026-03-10 to 2026-04-02,105,22,24,XCO-Net (Champion),"[np.float32(9649.0), np.float32(9623.0), np.float32(7061.0)]","[np.float32(9587.4), np.float32(9770.0), np.float32(9717.1)]",799.44,1016.92,11.23,0.1567
